Name	ID	NumProbes	NumGenes	ROC	Pval	CorrectedPvalue	Same as	GeneMembers
energy coupled proton transport, down electrochemical gradient	GO:0015985	14	14	0.53814122	0.31060306	1	GO:0015986|ATP synthesis coupled proton transport, 	
ATP synthesis coupled proton transport	GO:0015986	14	14	0.53814122	0.31060306	1	GO:0015985|energy coupled proton transport, down electrochemical gradient, 	
interferon-gamma production	GO:0032609	15	15	0.5368436	0.31062882	1		
negative regulation of response to biotic stimulus	GO:0002832	20	20	0.5317994	0.31124646	1		
regulation of immune effector process	GO:0002697	218	218	0.50963619	0.31221471	1		
double-strand break repair	GO:0006302	88	88	0.51508578	0.31245073	1		
protein N-linked glycosylation	GO:0006487	92	92	0.51468708	0.31326332	1		
positive regulation of metanephros development	GO:0072216	10	10	0.54436889	0.31352803	1		
cardioblast differentiation	GO:0010002	10	10	0.54428996	0.31383451	1		
Golgi lumen	GO:0005796	71	71	0.51665079	0.31385315	1		
hormone-mediated signaling pathway	GO:0009755	34	34	0.52395663	0.31440438	1		
positive regulation of ubiquitin-protein transferase activity	GO:0051443	67	67	0.51702496	0.31499384	1		
cell redox homeostasis	GO:0045454	48	48	0.52009105	0.31508658	1		
cobalamin metabolic process	GO:0009235	16	16	0.53472328	0.31528742	1		
appendage morphogenesis	GO:0035107	128	128	0.51231187	0.31538882	1	GO:0035108|limb morphogenesis, 	
limb morphogenesis	GO:0035108	128	128	0.51231187	0.31538882	1	GO:0035107|appendage morphogenesis, 	
mitotic G1 DNA damage checkpoint	GO:0031571	59	59	0.51802873	0.31602646	1	GO:0044819|mitotic G1/S transition checkpoint, 	
mitotic G1/S transition checkpoint	GO:0044819	59	59	0.51802873	0.31602646	1	GO:0031571|mitotic G1 DNA damage checkpoint, 	
autophagosome membrane	GO:0000421	19	18	0.53256798	0.31619215	1		
response to heat	GO:0009408	60	59	0.51800396	0.31626054	1		
gastrulation with mouth forming second	GO:0001702	28	28	0.52606233	0.31656362	1		
eukaryotic translation initiation factor 3 complex	GO:0005852	13	13	0.53819062	0.31675298	1		
reproduction	GO:0000003	675	673	0.50541716	0.31676513	1		
positive regulation of bone resorption	GO:0045780	11	11	0.54139758	0.31723355	1	GO:0046852|positive regulation of bone remodeling, 	
positive regulation of bone remodeling	GO:0046852	11	11	0.54139758	0.31723355	1	GO:0045780|positive regulation of bone resorption, 	
icosanoid metabolic process	GO:0006690	69	69	0.5165282	0.31754039	1	GO:1901568|fatty acid derivative metabolic process, 	
fatty acid derivative metabolic process	GO:1901568	69	69	0.5165282	0.31754039	1	GO:0006690|icosanoid metabolic process, 	
protein O-linked glycosylation	GO:0006493	61	61	0.5175286	0.31798093	1		
epidermis development	GO:0008544	215	215	0.50933878	0.31873464	1		
mammary gland alveolus development	GO:0060749	15	15	0.53507025	0.31907453	1	GO:0061377|mammary gland lobule development, 	
mammary gland lobule development	GO:0061377	15	15	0.53507025	0.31907453	1	GO:0060749|mammary gland alveolus development, 	
site of double-strand break	GO:0035861	12	12	0.53911389	0.31946994	1		
axoneme part	GO:0044447	19	19	0.53100762	0.31991207	1		
RNA polyadenylation	GO:0043631	23	23	0.52814807	0.32014613	1		
tryptophan metabolic process	GO:0006568	10	10	0.54260822	0.32039523	1		
hexose transport	GO:0008645	58	58	0.51771065	0.32046385	1	GO:0015758|glucose transport, 	
glucose transport	GO:0015758	58	58	0.51771065	0.32046385	1	GO:0008645|hexose transport, 	
regulation of neuron migration	GO:2001222	10	10	0.54256572	0.32056176	1		
activation of signaling protein activity involved in unfolded protein response	GO:0006987	56	56	0.51797836	0.32087265	1		
negative regulation of interferon-gamma production	GO:0032689	28	28	0.52539702	0.32092086	1		
cytokinesis	GO:0000910	72	72	0.51585385	0.32097095	1		
positive regulation of cytokine production	GO:0001819	264	263	0.50833932	0.32106536	1		
trophoblast giant cell differentiation	GO:0060707	12	12	0.53868885	0.32129412	1		
positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0032436	38	38	0.52172577	0.32154375	1		
vesicle organization	GO:0016050	114	114	0.512552	0.32181411	1		
erythrocyte development	GO:0048821	20	20	0.52983415	0.3220786	1		
nucleoside transport	GO:0015858	13	13	0.53681265	0.32290363	1		
positive regulation of oxidoreductase activity	GO:0051353	26	26	0.52598813	0.32322972	1		
positive regulation of DNA binding	GO:0043388	23	23	0.52755631	0.32366794	1		
positive regulation of nuclease activity	GO:0032075	58	58	0.51736263	0.32374532	1		
definitive hemopoiesis	GO:0060216	16	16	0.53279684	0.32483814	1		
regulation of CD4-positive, alpha-beta T cell differentiation	GO:0043370	24	24	0.52670596	0.3253207	1		
regulation of interleukin-8 production	GO:0032677	39	39	0.52091423	0.32567244	1		
negative regulation of inflammatory response	GO:0050728	73	73	0.5152707	0.32601075	1		
regulation of cellular response to oxidative stress	GO:1900407	19	19	0.52987742	0.32604329	1	GO:1902882|regulation of response to oxidative stress, 	
regulation of response to oxidative stress	GO:1902882	19	19	0.52987742	0.32604329	1	GO:1900407|regulation of cellular response to oxidative stress, 	
positive regulation of immunoglobulin production	GO:0002639	22	22	0.52776596	0.32605653	1		
intrinsic component of mitochondrial outer membrane	GO:0031306	15	14	0.53469276	0.32654815	1		
epithelial structure maintenance	GO:0010669	13	13	0.53580837	0.32741715	1		
Golgi to plasma membrane protein transport	GO:0043001	18	18	0.53043188	0.32743841	1		
DNA replication initiation	GO:0006270	16	16	0.53205853	0.32851652	1		
adipose tissue development	GO:0060612	15	15	0.53309446	0.32859606	1		
regulation of plasma membrane organization	GO:1903729	35	35	0.52166137	0.32871701	1		
renal absorption	GO:0070293	12	12	0.53689255	0.32905072	1		
spinal cord dorsal/ventral patterning	GO:0021513	18	17	0.53093023	0.32941441	1		
modification-dependent protein catabolic process	GO:0019941	313	312	0.50728493	0.3294236	1		
embryonic organ morphogenesis	GO:0048562	230	229	0.50843417	0.33031564	1		
embryo development ending in birth or egg hatching	GO:0009792	503	501	0.50574645	0.33043022	1		
acyl-CoA metabolic process	GO:0006637	49	48	0.51823313	0.33107593	1	GO:0035383|thioester metabolic process, 	
thioester metabolic process	GO:0035383	49	48	0.51823313	0.33107593	1	GO:0006637|acyl-CoA metabolic process, 	
sexual reproduction	GO:0019953	517	516	0.50561815	0.33174514	1		
purinergic receptor signaling pathway	GO:0035587	10	10	0.53968187	0.33194528	1		
negative regulation of defense response	GO:0031348	94	94	0.51296825	0.33203867	1		
ferric iron transport	GO:0015682	25	25	0.52498542	0.33271859	1	GO:0033572|transferrin transport, GO:0072512|trivalent inorganic cation transport, 	
transferrin transport	GO:0033572	25	25	0.52498542	0.33271859	1	GO:0015682|ferric iron transport, GO:0072512|trivalent inorganic cation transport, 	
trivalent inorganic cation transport	GO:0072512	25	25	0.52498542	0.33271859	1	GO:0015682|ferric iron transport, GO:0033572|transferrin transport, 	
protein kinase complex	GO:1902911	60	60	0.51600491	0.33408482	1		
regulation of DNA metabolic process	GO:0051052	197	196	0.50887946	0.33430745	1		
nuclear chromatin	GO:0000790	141	141	0.5104432	0.33442599	1		
lysosome organization	GO:0007040	37	37	0.52029328	0.33464861	1	GO:0080171|lytic vacuole organization, 	
lytic vacuole organization	GO:0080171	37	37	0.52029328	0.33464861	1	GO:0007040|lysosome organization, 	
negative regulation of mitotic cell cycle	GO:0045930	170	170	0.50945194	0.33553158	1		
embryonic organ development	GO:0048568	337	336	0.50674837	0.33574476	1		
cellular response to interleukin-1	GO:0071347	37	37	0.52013878	0.33583358	1		
germ cell development	GO:0007281	144	144	0.51022645	0.33606325	1		
cellular response to topologically incorrect protein	GO:0035967	78	78	0.51386043	0.33613233	1		
positive regulation of natural killer cell activation	GO:0032816	16	16	0.53045855	0.33657517	1		
centromere complex assembly	GO:0034508	21	21	0.52658682	0.33659612	1		
chordate embryonic development	GO:0043009	498	496	0.5055454	0.33675956	1		
pyrimidine nucleoside triphosphate biosynthetic process	GO:0009148	16	16	0.53037694	0.3369782	1		
nucleotide-excision repair complex	GO:0000109	12	12	0.53498492	0.33736932	1		
protein catabolic process	GO:0030163	376	375	0.5063063	0.33790336	1		
neuroblast proliferation	GO:0007405	25	25	0.52415654	0.33794673	1		
T cell selection	GO:0045058	29	29	0.52242574	0.3379789	1		
leukotriene metabolic process	GO:0006691	28	28	0.52277917	0.33827278	1		
forelimb morphogenesis	GO:0035136	34	34	0.52066531	0.33834821	1		
ether metabolic process	GO:0018904	18	18	0.52838183	0.33837203	1		
maintenance of protein localization in organelle	GO:0072595	15	15	0.53094862	0.33906446	1		
granulocyte migration	GO:0097530	40	40	0.51886062	0.33990665	1		
regulation of T cell mediated cytotoxicity	GO:0001914	25	25	0.52369713	0.34085804	1		
regulation of astrocyte differentiation	GO:0048710	21	21	0.5258086	0.3411138	1		
NIK/NF-kappaB signaling	GO:0038061	22	22	0.52511751	0.34170057	1		
negative regulation of cell cycle arrest	GO:0071157	10	10	0.53685872	0.34324156	1		
positive regulation of meiotic nuclear division	GO:0045836	11	11	0.53513827	0.34326779	1		
beta-amyloid metabolic process	GO:0050435	11	11	0.53513827	0.34326779	1		
sensory perception of temperature stimulus	GO:0050951	12	12	0.5336339	0.3433095	1		
secretory granule	GO:0030141	240	239	0.50755171	0.34403578	1		
negative regulation of cell differentiation	GO:0045596	459	458	0.50548488	0.34423952	1		
hematopoietic progenitor cell differentiation	GO:0002244	44	44	0.51743572	0.34454327	1		
negative regulation of biomineral tissue development	GO:0070168	17	17	0.52791116	0.34515536	1		
protein import into peroxisome matrix	GO:0016558	12	12	0.53309754	0.34567865	1		
endocardial cushion morphogenesis	GO:0003203	13	13	0.53171886	0.34604172	1		
regulation of icosanoid secretion	GO:0032303	13	13	0.53168616	0.3461923	1		
cardiac muscle cell proliferation	GO:0060038	13	13	0.53128211	0.34806587	1		
neural tube patterning	GO:0021532	29	29	0.52090093	0.34843587	1		
cellular response to ionizing radiation	GO:0071479	32	32	0.51987393	0.34861669	1		
histone mRNA metabolic process	GO:0008334	24	24	0.52291072	0.3488183	1		
monosaccharide transport	GO:0015749	59	59	0.51458667	0.34922299	1		
amine catabolic process	GO:0009310	13	13	0.53100652	0.34933857	1	GO:0042402|cellular biogenic amine catabolic process, 	
cellular biogenic amine catabolic process	GO:0042402	13	13	0.53100652	0.34933857	1	GO:0009310|amine catabolic process, 	
polyol biosynthetic process	GO:0046173	18	17	0.52686432	0.35067838	1		
chromosome condensation	GO:0030261	25	25	0.52195187	0.35200331	1		
mitochondrial proton-transporting ATP synthase complex	GO:0005753	17	17	0.52657134	0.3522298	1		
protein monoubiquitination	GO:0006513	34	34	0.5187912	0.35228439	1		
citrulline metabolic process	GO:0000052	10	10	0.53456985	0.35250459	1		
lymphocyte proliferation	GO:0046651	57	57	0.51447123	0.35278248	1		
regulation of SMAD protein import into nucleus	GO:0060390	13	13	0.53022879	0.35292844	1		
cellular zinc ion homeostasis	GO:0006882	11	11	0.5327924	0.35322843	1		
epithelial cell differentiation involved in prostate gland development	GO:0060742	11	11	0.53274273	0.35344048	1		
coated vesicle membrane	GO:0030662	99	99	0.51092169	0.35371927	1		
positive regulation of neuroblast proliferation	GO:0002052	12	12	0.53108365	0.35462755	1		
regulation of interleukin-4 production	GO:0032673	22	22	0.5229634	0.35462982	1		
lymphocyte activation	GO:0046649	262	261	0.50671514	0.35464533	1		
response to transition metal nanoparticle	GO:1990267	79	79	0.51210141	0.35505655	1		
IMP metabolic process	GO:0046040	11	11	0.53230115	0.35532738	1		
neuromuscular synaptic transmission	GO:0007274	17	17	0.52597468	0.355397	1		
glycosylation	GO:0070085	219	219	0.50727584	0.35550837	1		
myelin assembly	GO:0032288	17	17	0.52594252	0.35556797	1		
positive regulation of SMAD protein import into nucleus	GO:0060391	10	10	0.53372898	0.35591764	1		
regulation of execution phase of apoptosis	GO:1900117	13	13	0.52956316	0.35603147	1		
vacuolar proton-transporting V-type ATPase complex	GO:0016471	10	10	0.53370166	0.35604152	1		
formation of translation preinitiation complex	GO:0001731	12	12	0.53065861	0.35652676	1	GO:0033290|eukaryotic 48S preinitiation complex, 	
eukaryotic 48S preinitiation complex	GO:0033290	12	12	0.53065861	0.35652676	1	GO:0001731|formation of translation preinitiation complex, 	
complement activation, classical pathway	GO:0006958	27	27	0.52039468	0.35687943	1		
proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0043161	167	167	0.50819252	0.35760321	1		
negative regulation of mRNA processing	GO:0050686	10	10	0.53317953	0.35817463	1		
sensory perception	GO:0007600	434	434	0.50509621	0.35834373	1		
lung cell differentiation	GO:0060479	17	17	0.52538515	0.3585361	1		
meiotic chromosome segregation	GO:0045132	37	37	0.51719678	0.35869821	1		
vacuole organization	GO:0007033	60	59	0.51351329	0.35983113	1		
lung alveolus development	GO:0048286	31	31	0.51854496	0.36042061	1		
pyrimidine nucleoside biosynthetic process	GO:0046134	27	27	0.5198477	0.36055516	1		
organic hydroxy compound catabolic process	GO:1901616	54	54	0.51399345	0.36106251	1		
negative regulation of reactive oxygen species metabolic process	GO:2000378	19	19	0.52343355	0.36180125	1		
regulation of heart morphogenesis	GO:2000826	19	19	0.52331366	0.36248854	1		
pattern specification process	GO:0007389	365	364	0.50538286	0.36249552	1		
granulocyte activation	GO:0036230	13	13	0.52810579	0.36283465	1		
execution phase of apoptosis	GO:0097194	78	78	0.51149571	0.36284776	1		
left/right pattern formation	GO:0060972	13	13	0.5280077	0.36329415	1		
telomere maintenance via recombination	GO:0000722	24	24	0.52058141	0.3635397	1		
mitochondrial fission	GO:0000266	12	12	0.52902929	0.36383972	1		
regulation of histone deacetylation	GO:0031063	12	12	0.52886737	0.36456924	1		
lysosomal lumen	GO:0043202	67	67	0.51220745	0.36488697	1		
nucleoid	GO:0009295	34	33	0.5173476	0.36510107	1		
regulation of DNA-templated transcription, initiation	GO:2000142	15	15	0.52570954	0.36513656	1		
homologous chromosome segregation	GO:0045143	26	26	0.5194797	0.36549904	1		
striated muscle cell proliferation	GO:0014855	15	15	0.52563262	0.36552442	1		
photoreceptor disc membrane	GO:0097381	13	13	0.52739579	0.36616493	1		
regulation of stem cell differentiation	GO:2000736	70	70	0.51181829	0.36625044	1		
melanosome transport	GO:0032402	12	12	0.52842715	0.36655511	1		
anatomical structure homeostasis	GO:0060249	189	187	0.50721994	0.36690614	1		
protein K48-linked ubiquitination	GO:0070936	35	35	0.51655809	0.36731654	1		
oligosaccharyltransferase complex	GO:0008250	10	10	0.53089066	0.36757713	1		
negative regulation of cardiac muscle tissue development	GO:0055026	14	14	0.52600439	0.36809539	1		
mRNA transcription	GO:0009299	16	16	0.52431294	0.36816544	1		
prostate gland morphogenesis	GO:0060512	23	23	0.52017124	0.36885492	1		
embryonic morphogenesis	GO:0048598	437	435	0.5046972	0.3688665	1		
dsRNA fragmentation	GO:0031050	10	10	0.53047174	0.36930684	1	GO:0070918|production of small RNA involved in gene silencing by RNA, 	
production of small RNA involved in gene silencing by RNA	GO:0070918	10	10	0.53047174	0.36930684	1	GO:0031050|dsRNA fragmentation, 	
microvillus membrane	GO:0031528	17	17	0.52331647	0.36962606	1		
eukaryotic 43S preinitiation complex	GO:0016282	13	13	0.52651763	0.37029793	1	GO:0070993|translation preinitiation complex, 	
translation preinitiation complex	GO:0070993	13	13	0.52651763	0.37029793	1	GO:0016282|eukaryotic 43S preinitiation complex, 	
cell cycle process	GO:0022402	781	780	0.50349667	0.37063168	1		
telomere maintenance via semi-conservative replication	GO:0032201	20	20	0.5211105	0.37189668	1		
cellular response to nutrient levels	GO:0031669	95	93	0.50980327	0.37200095	1		
positive regulation of muscle cell apoptotic process	GO:0010661	12	12	0.52713178	0.37241914	1		
thyroid gland development	GO:0030878	16	16	0.52346644	0.37259324	1		
protein homotrimerization	GO:0070207	17	17	0.52272338	0.37282615	1		
negative regulation of NF-kappaB transcription factor activity	GO:0032088	52	52	0.51299005	0.37297519	1		
protein destabilization	GO:0031648	16	16	0.52337534	0.37307079	1		
mitochondrial respiratory chain complex assembly	GO:0033108	13	13	0.52591506	0.37314259	1		
regulation of proteolysis	GO:0030162	455	454	0.50444377	0.37318177	1		
